,workclass,marital-status,occupation,relationship,race,gender,native-country,age,educational-num,capital-gain,capital-loss,hours-per-week,target
26209,4.0,4.0,6.0,2.0,4.0,1.0,26.0,22,10,0,0,24,0
8833,4.0,2.0,4.0,0.0,4.0,1.0,39.0,65,16,0,0,40,1
15672,4.0,2.0,3.0,0.0,4.0,1.0,39.0,55,9,0,0,40,0
32133,4.0,4.0,8.0,3.0,4.0,0.0,39.0,18,9,0,0,20,0
31605,6.0,2.0,3.0,0.0,4.0,1.0,39.0,28,10,0,0,45,1
8493,4.0,2.0,14.0,0.0,4.0,1.0,39.0,29,10,0,0,45,1
18777,4.0,2.0,4.0,0.0,4.0,1.0,39.0,32,9,0,0,40,0
21959,6.0,2.0,12.0,0.0,4.0,1.0,39.0,49,10,0,0,50,0
28536,4.0,4.0,1.0,3.0,4.0,0.0,39.0,40,12,0,0,45,0
31917,4.0,2.0,4.0,0.0,4.0,1.0,39.0,43,10,0,0,40,1
26475,7.0,2.0,3.0,0.0,4.0,1.0,39.0,31,11,0,0,40,0
8635,4.0,2.0,8.0,0.0,2.0,1.0,39.0,31,10,0,0,35,0
16570,4.0,4.0,1.0,1.0,4.0,0.0,39.0,28,13,0,0,40,0
13157,4.0,2.0,8.0,0.0,4.0,1.0,39.0,39,9,0,0,30,0
34770,4.0,0.0,7.0,1.0,4.0,1.0,13.0,54,4,0,0,40,0
26392,5.0,2.0,12.0,0.0,4.0,1.0,26.0,35,14,0,0,45,1
19193,4.0,2.0,4.0,0.0,4.0,1.0,39.0,40,12,0,1848,55,1
4336,4.0,4.0,10.0,1.0,4.0,1.0,39.0,35,13,0,0,45,0
35310,4.0,2.0,1.0,2.0,4.0,0.0,39.0,59,10,0,0,16,1
21947,4.0,5.0,7.0,4.0,2.0,0.0,39.0,38,9,0,0,28,0
30550,5.0,2.0,7.0,0.0,4.0,1.0,39.0,45,10,0,0,50,0
9990,4.0,4.0,4.0,1.0,4.0,1.0,39.0,42,13,0,0,55,1
2393,4.0,0.0,12.0,4.0,4.0,0.0,39.0,46,10,0,0,40,0
21245,4.0,2.0,7.0,0.0,4.0,1.0,39.0,61,9,0,0,40,0
12193,4.0,2.0,5.0,5.0,4.0,0.0,26.0,41,3,0,0,40,0
24074,4.0,4.0,4.0,1.0,4.0,1.0,39.0,25,13,0,0,40,0
38547,4.0,4.0,7.0,3.0,4.0,1.0,39.0,22,9,0,0,40,0
34054,4.0,0.0,1.0,2.0,4.0,0.0,39.0,63,9,0,0,40,0
13855,4.0,2.0,1.0,5.0,4.0,0.0,39.0,61,10,15024,0,34,1
26360,2.0,2.0,4.0,0.0,4.0,1.0,39.0,32,12,0,2057,70,0
5307,4.0,2.0,10.0,0.0,4.0,1.0,39.0,34,12,0,0,55,0
8470,4.0,0.0,7.0,1.0,4.0,0.0,39.0,52,4,0,0,64,0
27776,4.0,6.0,4.0,1.0,4.0,0.0,39.0,59,12,0,0,40,1
17575,1.0,2.0,14.0,0.0,4.0,1.0,39.0,55,9,0,0,40,0
4706,4.0,2.0,7.0,0.0,4.0,1.0,39.0,33,10,0,0,40,1
13642,6.0,2.0,12.0,0.0,4.0,1.0,39.0,60,10,0,0,50,0
28362,4.0,4.0,8.0,2.0,4.0,0.0,39.0,29,10,0,0,20,0
25499,4.0,4.0,12.0,3.0,4.0,0.0,26.0,20,9,0,0,25,0
32640,2.0,2.0,4.0,0.0,4.0,1.0,39.0,50,14,0,0,55,1
25644,2.0,5.0,4.0,4.0,2.0,1.0,39.0,23,10,0,0,40,0
14532,4.0,2.0,14.0,0.0,4.0,1.0,39.0,39,9,7298,0,48,1
3741,0.0,2.0,0.0,3.0,2.0,0.0,39.0,50,7,0,0,40,0
478,5.0,2.0,12.0,0.0,4.0,1.0,39.0,61,14,0,0,40,1
16654,5.0,4.0,14.0,3.0,4.0,1.0,39.0,24,10,0,0,40,0
6160,4.0,3.0,3.0,1.0,4.0,1.0,26.0,45,9,0,0,72,0
5004,2.0,2.0,6.0,0.0,4.0,1.0,39.0,65,9,6418,0,45,1
31578,4.0,2.0,12.0,0.0,4.0,1.0,39.0,26,10,0,0,40,0
11429,4.0,4.0,1.0,3.0,4.0,0.0,39.0,18,9,0,0,25,0
38715,4.0,4.0,12.0,3.0,4.0,0.0,39.0,29,10,0,0,40,0
24474,6.0,2.0,10.0,0.0,4.0,1.0,39.0,42,15,0,1887,40,1
32906,6.0,2.0,5.0,0.0,4.0,1.0,39.0,72,3,0,0,40,0
36300,4.0,4.0,1.0,4.0,2.0,0.0,39.0,20,10,0,0,35,0
31778,1.0,5.0,3.0,1.0,4.0,1.0,39.0,50,6,0,0,56,0
17878,4.0,4.0,8.0,3.0,4.0,0.0,39.0,22,10,0,0,24,0
29039,4.0,4.0,10.0,3.0,4.0,1.0,39.0,20,10,0,0,25,0
37856,6.0,4.0,3.0,1.0,4.0,1.0,39.0,21,4,0,0,40,0
10953,0.0,2.0,0.0,5.0,4.0,0.0,39.0,40,10,0,0,25,0
27267,2.0,0.0,10.0,1.0,4.0,0.0,39.0,28,13,2354,0,60,0
5493,0.0,2.0,0.0,5.0,2.0,0.0,39.0,64,13,0,0,8,0
37,7.0,2.0,10.0,0.0,1.0,1.0,0.0,55,16,0,0,70,1
934,4.0,2.0,1.0,0.0,4.0,1.0,39.0,37,11,0,0,40,0
29829,4.0,2.0,8.0,0.0,4.0,1.0,39.0,30,13,0,0,60,1
27517,0.0,2.0,0.0,0.0,4.0,1.0,2.0,47,9,5178,0,30,1
18976,4.0,0.0,4.0,1.0,4.0,0.0,39.0,26,10,0,0,40,0
5306,4.0,4.0,13.0,1.0,1.0,1.0,19.0,22,13,0,2339,40,0
37651,4.0,4.0,1.0,1.0,1.0,1.0,30.0,26,10,0,0,20,0
3291,4.0,2.0,12.0,0.0,4.0,1.0,39.0,42,13,5178,0,45,1
3787,0.0,6.0,0.0,1.0,2.0,0.0,39.0,61,4,0,0,40,0
14182,4.0,2.0,10.0,0.0,4.0,1.0,39.0,58,13,0,0,40,1
25891,4.0,2.0,8.0,5.0,4.0,0.0,39.0,34,9,0,0,40,1
11341,4.0,0.0,10.0,4.0,4.0,0.0,39.0,48,15,0,0,25,0
16753,0.0,6.0,0.0,1.0,4.0,0.0,39.0,64,9,0,0,30,0
24829,5.0,2.0,10.0,0.0,4.0,1.0,39.0,45,12,0,0,50,1
31834,4.0,2.0,3.0,0.0,4.0,1.0,4.0,25,10,0,0,40,0
7769,4.0,2.0,12.0,0.0,4.0,1.0,39.0,22,9,0,0,50,0
9312,2.0,0.0,1.0,4.0,4.0,0.0,39.0,37,10,0,0,40,0
28576,4.0,4.0,5.0,4.0,4.0,1.0,39.0,27,3,0,0,50,0
6123,4.0,4.0,3.0,1.0,4.0,1.0,39.0,32,9,0,0,40,0
33298,0.0,2.0,0.0,0.0,4.0,1.0,39.0,67,13,0,0,40,0
18918,4.0,2.0,4.0,0.0,4.0,1.0,9.0,45,13,0,0,40,1
20703,4.0,0.0,1.0,4.0,2.0,0.0,39.0,35,9,0,0,40,0
18142,4.0,2.0,7.0,0.0,4.0,1.0,39.0,28,9,0,0,45,0
29079,0.0,2.0,0.0,5.0,2.0,0.0,39.0,59,5,0,0,32,0
8249,4.0,0.0,5.0,1.0,2.0,1.0,39.0,58,5,0,0,40,0
31175,4.0,2.0,12.0,0.0,4.0,1.0,39.0,42,9,0,0,40,0
13522,7.0,2.0,4.0,0.0,4.0,1.0,39.0,55,14,0,0,45,1
1361,4.0,6.0,9.0,4.0,4.0,0.0,39.0,47,13,25236,0,35,1
20400,4.0,4.0,1.0,1.0,4.0,0.0,39.0,22,12,0,0,15,0
16384,6.0,2.0,10.0,5.0,4.0,0.0,39.0,40,15,15024,0,40,1
16122,6.0,2.0,10.0,0.0,4.0,1.0,39.0,34,15,0,0,35,1
37895,4.0,2.0,14.0,0.0,4.0,1.0,39.0,29,9,0,0,40,0
4238,4.0,4.0,1.0,1.0,4.0,1.0,39.0,22,10,0,0,55,0
9648,5.0,2.0,4.0,0.0,4.0,1.0,0.0,36,9,99999,0,50,1
4766,6.0,3.0,1.0,4.0,0.0,0.0,39.0,19,6,0,0,40,0
16558,4.0,4.0,12.0,1.0,4.0,0.0,39.0,29,10,0,0,40,0
25048,6.0,0.0,8.0,1.0,4.0,0.0,39.0,65,13,0,0,35,0
11131,4.0,4.0,10.0,1.0,4.0,0.0,39.0,37,14,0,0,38,1
4415,4.0,4.0,1.0,2.0,4.0,1.0,39.0,24,9,0,0,40,0
11353,4.0,2.0,3.0,0.0,1.0,1.0,39.0,52,13,0,0,40,0
36359,4.0,4.0,1.0,1.0,4.0,0.0,39.0,31,12,0,0,40,0
11693,4.0,0.0,4.0,4.0,4.0,0.0,39.0,51,13,0,0,50,0
25581,6.0,2.0,4.0,0.0,4.0,1.0,39.0,51,13,0,0,25,0
29722,4.0,2.0,3.0,0.0,4.0,1.0,39.0,31,10,0,0,40,1
13149,4.0,5.0,4.0,4.0,4.0,0.0,39.0,34,9,0,0,30,0
18830,4.0,2.0,7.0,0.0,4.0,1.0,39.0,44,6,4386,0,60,0
10709,4.0,2.0,4.0,0.0,4.0,1.0,39.0,62,13,0,0,40,1
22038,4.0,0.0,11.0,1.0,4.0,1.0,39.0,54,9,0,0,40,0
20210,4.0,2.0,8.0,5.0,4.0,0.0,39.0,52,9,0,0,25,0
7667,4.0,0.0,14.0,1.0,4.0,1.0,39.0,54,9,0,0,40,0
25561,2.0,6.0,13.0,4.0,4.0,0.0,39.0,65,9,0,0,35,0
31037,4.0,2.0,13.0,5.0,4.0,0.0,39.0,37,13,0,0,40,1
32089,4.0,2.0,7.0,0.0,3.0,1.0,39.0,49,4,0,0,38,0
12793,4.0,4.0,10.0,1.0,4.0,0.0,39.0,27,13,0,0,40,0
22639,4.0,2.0,7.0,0.0,4.0,1.0,39.0,40,6,0,0,40,0
4039,4.0,2.0,7.0,0.0,4.0,1.0,39.0,30,7,0,0,40,0
25517,4.0,0.0,1.0,1.0,1.0,0.0,24.0,45,9,0,1590,40,0
16648,1.0,2.0,4.0,0.0,4.0,1.0,39.0,42,13,0,0,40,1
30857,5.0,2.0,10.0,0.0,4.0,1.0,39.0,47,15,99999,0,50,1
4920,4.0,2.0,3.0,0.0,4.0,1.0,39.0,53,11,0,0,40,1
556,2.0,0.0,10.0,1.0,4.0,0.0,39.0,42,13,0,0,50,0
35871,2.0,2.0,10.0,5.0,4.0,0.0,39.0,40,13,0,0,20,0
4267,4.0,3.0,3.0,1.0,4.0,1.0,39.0,35,10,0,0,40,0
23354,7.0,2.0,3.0,5.0,2.0,0.0,39.0,48,9,0,0,40,1
18596,4.0,4.0,8.0,3.0,4.0,1.0,39.0,39,4,0,1602,35,0
6202,4.0,4.0,3.0,4.0,4.0,1.0,39.0,46,9,0,0,40,0
25856,4.0,0.0,4.0,1.0,2.0,0.0,39.0,42,9,5455,0,50,0
32408,5.0,2.0,10.0,5.0,4.0,0.0,39.0,39,14,0,0,40,1
18034,4.0,2.0,12.0,0.0,4.0,1.0,39.0,29,12,0,0,50,1
1951,1.0,4.0,1.0,4.0,4.0,0.0,39.0,42,9,0,0,40,0
28898,2.0,0.0,11.0,4.0,4.0,1.0,39.0,36,10,0,0,55,0
24012,4.0,0.0,10.0,1.0,4.0,1.0,39.0,42,10,0,0,40,0
26874,4.0,2.0,3.0,0.0,4.0,1.0,39.0,51,9,0,0,50,0
12320,5.0,0.0,4.0,1.0,4.0,1.0,39.0,26,9,0,0,78,1
6774,4.0,4.0,12.0,3.0,4.0,1.0,39.0,47,13,0,0,40,0
22422,4.0,0.0,8.0,4.0,4.0,0.0,39.0,32,11,0,0,40,0
14504,4.0,2.0,6.0,0.0,4.0,1.0,39.0,31,9,0,0,40,0
35887,4.0,4.0,3.0,3.0,1.0,1.0,39.0,28,9,0,0,45,0
18954,4.0,2.0,10.0,0.0,4.0,1.0,31.0,55,10,0,0,40,1
21066,5.0,0.0,12.0,4.0,4.0,1.0,39.0,34,9,0,0,50,1
28385,4.0,4.0,1.0,3.0,4.0,1.0,39.0,26,9,0,0,40,0
37008,4.0,2.0,4.0,0.0,4.0,1.0,39.0,45,10,0,0,40,0
9304,4.0,2.0,4.0,0.0,4.0,1.0,39.0,35,14,0,0,50,1
6022,4.0,0.0,3.0,3.0,2.0,1.0,39.0,31,10,0,0,40,0
38228,6.0,2.0,12.0,0.0,4.0,1.0,39.0,37,9,0,1902,45,1
11427,2.0,0.0,4.0,1.0,4.0,1.0,39.0,58,9,0,0,33,0
24141,6.0,4.0,10.0,1.0,4.0,0.0,39.0,67,10,0,0,50,1
20407,0.0,0.0,0.0,4.0,2.0,0.0,39.0,45,7,0,0,16,0
22848,4.0,2.0,7.0,0.0,4.0,1.0,39.0,36,10,0,0,48,0
14147,7.0,4.0,10.0,1.0,4.0,1.0,39.0,30,10,0,0,40,0
22585,4.0,1.0,3.0,0.0,4.0,1.0,39.0,27,9,0,0,40,1
142,6.0,4.0,10.0,1.0,4.0,1.0,26.0,19,5,0,0,35,0
3315,4.0,5.0,5.0,1.0,4.0,1.0,26.0,30,4,0,0,45,0
7850,1.0,0.0,13.0,1.0,4.0,1.0,39.0,44,13,0,2258,40,1
15013,0.0,4.0,0.0,3.0,4.0,0.0,39.0,19,10,0,0,40,0
875,4.0,2.0,7.0,0.0,0.0,1.0,39.0,45,4,0,0,40,0
15722,4.0,5.0,1.0,4.0,4.0,0.0,39.0,59,9,0,0,40,0
22833,4.0,2.0,4.0,0.0,4.0,1.0,39.0,54,13,0,0,60,1
14588,4.0,4.0,8.0,3.0,4.0,1.0,39.0,30,9,0,0,10,0
599,4.0,2.0,1.0,0.0,2.0,1.0,39.0,29,10,0,0,50,0
15188,4.0,2.0,3.0,0.0,4.0,1.0,39.0,40,9,0,0,40,0
37888,4.0,6.0,10.0,4.0,4.0,1.0,39.0,68,15,0,0,60,1
30248,4.0,5.0,1.0,4.0,4.0,0.0,33.0,54,9,0,0,38,0
1765,4.0,4.0,8.0,3.0,4.0,1.0,39.0,18,10,0,0,16,0
1087,4.0,2.0,7.0,0.0,4.0,1.0,39.0,40,9,0,0,40,0
33619,6.0,2.0,5.0,5.0,4.0,0.0,39.0,42,10,0,0,50,0
20647,4.0,2.0,10.0,0.0,4.0,1.0,39.0,25,13,0,0,40,0
23378,4.0,2.0,3.0,0.0,4.0,1.0,39.0,39,6,0,0,40,0
30166,4.0,2.0,11.0,0.0,4.0,1.0,39.0,24,9,0,0,40,0
15,4.0,0.0,3.0,1.0,4.0,1.0,39.0,41,10,0,0,40,1
28895,4.0,4.0,3.0,3.0,4.0,1.0,39.0,33,7,0,0,40,0
26361,4.0,3.0,13.0,3.0,4.0,0.0,39.0,27,11,0,0,40,0
7539,2.0,2.0,10.0,0.0,4.0,1.0,39.0,47,13,0,0,72,0
168,4.0,0.0,3.0,1.0,4.0,1.0,39.0,37,10,0,0,50,0
32318,5.0,2.0,12.0,0.0,4.0,1.0,39.0,54,13,0,0,70,1
6898,4.0,2.0,3.0,0.0,2.0,1.0,39.0,50,4,0,0,40,0
7350,4.0,2.0,3.0,0.0,4.0,1.0,39.0,35,5,0,0,40,0
1851,4.0,6.0,10.0,4.0,4.0,0.0,39.0,49,13,1506,0,35,0
32717,4.0,0.0,4.0,1.0,4.0,0.0,39.0,32,13,0,0,48,1
14808,4.0,2.0,1.0,0.0,4.0,1.0,39.0,29,9,0,0,40,0
12967,4.0,2.0,3.0,0.0,1.0,1.0,40.0,45,10,0,0,40,0
33851,6.0,2.0,3.0,0.0,4.0,1.0,39.0,76,14,0,0,10,0
32781,4.0,2.0,1.0,5.0,4.0,0.0,26.0,20,9,0,0,40,0
32251,0.0,2.0,0.0,0.0,4.0,1.0,39.0,61,12,0,0,2,1
26119,4.0,4.0,4.0,3.0,4.0,1.0,39.0,34,15,0,0,50,0
6378,4.0,4.0,4.0,3.0,4.0,1.0,39.0,19,10,0,0,15,0
18072,0.0,4.0,0.0,3.0,4.0,0.0,39.0,19,10,1055,0,40,0
4096,4.0,0.0,10.0,2.0,4.0,0.0,39.0,50,13,0,0,50,1
9866,4.0,4.0,1.0,3.0,4.0,0.0,39.0,25,9,0,0,40,0
33186,4.0,2.0,6.0,0.0,4.0,1.0,39.0,31,9,0,0,40,0
9593,4.0,4.0,10.0,1.0,4.0,1.0,2.0,33,13,0,0,40,0
31007,4.0,0.0,7.0,1.0,4.0,0.0,39.0,52,10,0,0,40,0
21510,4.0,2.0,7.0,0.0,4.0,1.0,39.0,35,9,0,0,44,0
29531,5.0,4.0,3.0,4.0,4.0,1.0,39.0,20,5,0,625,40,0
573,4.0,2.0,1.0,0.0,4.0,1.0,26.0,29,9,0,0,30,0
22040,4.0,4.0,12.0,3.0,4.0,0.0,39.0,21,10,0,0,20,0
37826,0.0,2.0,0.0,5.0,4.0,0.0,39.0,32,15,15024,0,50,1
18834,4.0,4.0,14.0,3.0,4.0,1.0,39.0,23,9,0,0,40,0
35597,4.0,4.0,1.0,3.0,1.0,0.0,30.0,22,10,0,0,40,0
12932,4.0,2.0,8.0,5.0,4.0,0.0,39.0,24,9,0,0,25,0
1124,6.0,2.0,3.0,0.0,4.0,1.0,39.0,35,12,0,0,40,0
15538,4.0,2.0,4.0,0.0,4.0,1.0,39.0,45,14,0,0,50,1
30203,4.0,0.0,4.0,1.0,4.0,1.0,39.0,41,9,0,0,40,0
34835,4.0,2.0,3.0,0.0,4.0,1.0,39.0,50,9,0,0,40,1
10634,2.0,2.0,1.0,0.0,4.0,1.0,39.0,45,14,0,0,35,0
21517,4.0,4.0,4.0,3.0,1.0,1.0,39.0,23,13,0,0,24,0
30115,6.0,2.0,5.0,0.0,4.0,1.0,39.0,67,4,0,0,40,0
29979,1.0,4.0,1.0,1.0,4.0,1.0,39.0,57,9,0,2258,40,0
11049,4.0,0.0,12.0,3.0,4.0,0.0,20.0,22,10,0,0,48,0
8311,4.0,0.0,13.0,1.0,4.0,0.0,39.0,46,9,0,0,30,0
22087,6.0,2.0,4.0,0.0,4.0,1.0,39.0,46,9,0,0,50,0
5591,4.0,4.0,8.0,1.0,4.0,1.0,39.0,26,9,0,0,24,0
15477,4.0,2.0,10.0,0.0,4.0,1.0,39.0,36,13,0,0,50,1
28013,4.0,2.0,14.0,0.0,4.0,1.0,39.0,29,5,0,0,40,0
3785,4.0,4.0,8.0,3.0,4.0,1.0,39.0,18,7,0,0,40,0
2423,4.0,4.0,4.0,3.0,4.0,0.0,39.0,32,13,10520,0,40,1
18590,2.0,2.0,11.0,0.0,4.0,1.0,39.0,46,9,5013,0,50,0
16291,4.0,5.0,8.0,4.0,2.0,0.0,39.0,29,9,0,0,30,0
24523,4.0,4.0,1.0,3.0,4.0,1.0,39.0,19,10,0,0,10,0
1634,4.0,0.0,1.0,4.0,4.0,0.0,39.0,39,13,0,0,20,0
28214,5.0,2.0,10.0,0.0,4.0,1.0,39.0,52,15,15024,0,60,1
22656,4.0,4.0,12.0,1.0,4.0,0.0,39.0,17,6,0,0,15,0
6780,4.0,2.0,13.0,0.0,4.0,1.0,39.0,61,10,15024,0,18,1
8512,4.0,4.0,12.0,1.0,4.0,0.0,39.0,68,9,0,0,40,0
37717,4.0,4.0,12.0,1.0,4.0,1.0,39.0,26,12,0,0,40,0
36501,4.0,4.0,3.0,3.0,4.0,1.0,39.0,26,9,0,0,36,0
35392,4.0,4.0,6.0,1.0,4.0,1.0,39.0,27,10,0,0,38,0
662,7.0,0.0,1.0,2.0,4.0,0.0,39.0,43,10,0,0,40,0
12538,0.0,2.0,0.0,0.0,4.0,1.0,39.0,59,10,0,0,40,1
9738,2.0,6.0,1.0,1.0,4.0,0.0,39.0,62,9,0,0,38,0
26625,4.0,4.0,8.0,1.0,4.0,0.0,39.0,18,9,0,0,35,0
14316,4.0,2.0,6.0,0.0,4.0,1.0,39.0,55,9,0,1887,40,1
27480,4.0,2.0,3.0,0.0,4.0,1.0,39.0,48,10,0,0,40,0
3940,2.0,2.0,10.0,0.0,4.0,1.0,39.0,32,13,0,0,40,1
1258,6.0,0.0,5.0,1.0,4.0,1.0,39.0,49,13,0,0,65,0
1990,4.0,5.0,3.0,3.0,4.0,1.0,39.0,23,10,0,0,40,0
23955,4.0,2.0,10.0,0.0,4.0,1.0,39.0,39,14,0,0,50,1
12939,4.0,2.0,3.0,0.0,4.0,1.0,39.0,38,11,4386,0,40,1
36244,4.0,2.0,12.0,0.0,4.0,1.0,39.0,36,13,0,1902,40,1
9384,4.0,2.0,12.0,0.0,4.0,1.0,39.0,38,13,15024,0,60,1
11690,5.0,2.0,12.0,0.0,4.0,1.0,39.0,52,15,0,0,40,1
24022,4.0,4.0,1.0,4.0,2.0,0.0,39.0,31,10,0,0,35,0
32250,4.0,0.0,12.0,4.0,4.0,1.0,39.0,48,10,0,0,45,0
15353,4.0,6.0,3.0,1.0,4.0,1.0,39.0,68,10,0,0,10,0
33370,4.0,2.0,14.0,0.0,2.0,1.0,39.0,55,10,0,0,35,0
9821,4.0,4.0,8.0,1.0,4.0,0.0,21.0,34,7,0,0,40,0
16769,4.0,2.0,5.0,0.0,4.0,1.0,39.0,49,9,0,0,40,0
28846,4.0,4.0,12.0,1.0,2.0,1.0,14.0,26,10,0,0,40,0
8421,4.0,4.0,12.0,3.0,2.0,0.0,39.0,20,9,0,0,35,0
16455,2.0,2.0,7.0,0.0,2.0,1.0,39.0,46,9,0,0,40,0
4356,4.0,2.0,8.0,0.0,4.0,1.0,39.0,34,9,0,0,40,1
11456,2.0,0.0,3.0,1.0,3.0,1.0,0.0,53,9,0,0,40,1
27164,1.0,4.0,1.0,1.0,4.0,1.0,39.0,48,10,0,0,30,0
37519,2.0,0.0,14.0,1.0,4.0,1.0,39.0,43,9,0,0,40,0
22212,4.0,2.0,11.0,0.0,2.0,1.0,39.0,72,10,0,0,40,0
24486,4.0,2.0,10.0,0.0,4.0,1.0,11.0,52,10,0,0,40,1
8195,4.0,4.0,7.0,1.0,2.0,0.0,39.0,21,8,0,0,40,0
19799,4.0,2.0,12.0,0.0,4.0,1.0,0.0,90,13,0,0,20,0
35377,4.0,4.0,12.0,2.0,4.0,0.0,39.0,26,10,0,0,20,0
37968,4.0,4.0,8.0,2.0,1.0,1.0,39.0,51,7,0,0,35,0
23758,4.0,6.0,7.0,1.0,4.0,0.0,39.0,62,5,0,0,35,0
7514,4.0,4.0,12.0,1.0,4.0,1.0,39.0,24,10,0,0,40,0
21643,1.0,6.0,8.0,4.0,4.0,0.0,33.0,64,4,0,0,30,0
31296,0.0,4.0,0.0,1.0,1.0,0.0,39.0,20,10,0,0,40,0
28808,2.0,4.0,11.0,1.0,4.0,1.0,39.0,23,9,0,0,45,0
